word,cefr,frequency,sentence_count
marriage,B1,2,2
mars,B1,2,2
marvelous,B1,1,0
meanwhile,B1,1,1
meatball,B1,1,1
mental,B1,1,1
midtown,B1,1,1
mine,B1,1,0
mixture,B1,1,1
mood,B1,3,2
moreover,B1,,0
mosquito,B1,2,2
mover,B1,2,2
mud,B1,1,1
multitasking,B1,2,0
muscle,B1,1,1
musical,B1,4,2
nail,B1,1,1
narrative,B1,2,2
necessarily,B1,3,1
needle,B1,1,1
neighbor,B1,13,0
neighborhood,B1,9,0
neighbourhood,B1,1,1
nepalese,B1,2,2
nevertheless,B1,,0
newsstand,B1,2,1
nickname,B1,3,1
nuclear,B1,2,0
obvious,B1,3,1
occasion,B1,3,2
occur,B1,3,1
odd,B1,1,0
olive,B1,1,1
olympics,B1,1,1
On the contrary,B1,,0
on the other hand,B1,,0
on top of that,B1,,0
onboard,B1,2,2
organisation,B1,1,0
organise,B1,1,0
organizer,B1,5,0
originally,B1,3,2
ours,B1,1,0
outdoors,B1,2,1
outwards,B1,1,0
pale,B1,1,1
participate,B1,5,1
pass,B1,1,1
pavement,B1,1,1
peanut,B1,2,1
pearl,B1,1,1
pedestrian,B1,1,0
percentage,B1,1,0
perfectly,B1,4,2
performer,B1,2,1
pianist,B1,1,1
picking,B1,1,0
pie,B1,1,1
planter,B1,2,2
pleasure,B1,6,1
poisonous,B1,1,1
politely,B1,1,1
political,B1,5,0
politics,B1,2,1
pop music,B1,13,0
pork,B1,1,0
postbag,B1,2,2
pot,B1,1,1
pour,B1,2,2
powerful,B1,2,0
prayer,B1,5,2
prediction,B1,1,1
pretend,B1,3,1
primary,B1,4,2
prisoner,B1,3,1
private,B1,10,1
proper,B1,1,1
properly,B1,5,2
property,B1,6,0
protest,B1,2,1
proud,B1,6,2
qualification,B1,2,2
qualify,B1,2,0
race,B1,6,2
rainforest,B1,2,1
rainy,B1,2,2
rarely,B1,1,0
rarer,B1,1,0
rarest,B1,1,1
recognise,B1,1,1
recycler,B1,1,0
refreshment,B1,3,1
refund,B1,3,1
regarding,B1,0,0
regularly,B1,5,2
relate,B1,4,0
relation,B1,7,2
release,B1,13,2
reliable,B1,1,0
religious,B1,2,1
remote,B1,3,1
rent,B1,3,2
reopen,B1,1,1
repair,B1,6,2
represent,B1,6,1
rescuer,B1,3,2
reservation,B1,1,1
reset,B1,1,0
reshape,B1,2,1
respondent,B1,2,0
responsible,B1,2,0
retire,B1,5,2
reuse,B1,1,1
reviewer,B1,2,1
revise,B1,3,1
rider,B1,1,1
ring,B1,2,1
roaster,B1,2,2
roll,B1,3,2
romantic,B1,1,0
rulebook,B1,1,1
sand,B1,1,0
sandals,B1,1,1
scan,B1,2,1
scanner,B1,1,1
scenery,B1,3,1
schoolchildren,B1,2,2
screenshot,B1,4,1
sculpture,B1,1,0
seagull,B1,1,1
secondary,B1,3,2
secretly,B1,1,0
seed,B1,2,2
selfie,B1,1,0
selfish,B1,2,0
seller,B1,1,0
seminal,B1,1,0
sensible,B1,1,1
servant,B1,2,0
sex,B1,2,1
shake,B1,4,1
shark,B1,2,1
shelf,B1,1,1
shelves,B1,1,1
shortlist,B1,1,0
shy,B1,1,1
sidewalk,B1,2,2
signal,B1,1,1
silent,B1,1,1
silly,B1,1,1
sink,B1,3,2
skype,B1,1,1
sleeve,B1,1,1
slice,B1,1,0
smarter,B1,1,1
smelly,B1,1,1
smooth,B1,1,1
socially,B1,2,1
softly,B1,1,1
solid,B1,5,0
songbook,B1,1,0
sooner,B1,2,0
sore,B1,1,1
sour,B1,2,1
southern,B1,1,1
souvenir,B1,2,1
spacecraft,B1,2,1
spaceship,B1,3,1
specially,B1,1,1
specifically,B1,2,2
spicy,B1,1,1
standard,B1,2,0
statue,B1,3,0
sticker,B1,1,1
storytelling,B1,2,2
strength,B1,1,1
stressful,B1,1,1
string,B1,3,2
strongly,B1,3,2
stylish,B1,2,1
successfully,B1,3,2
suit,B1,10,2
summarize,B1,3,2
sunrise,B1,1,0
sunscreen,B1,2,2
sunset,B1,1,1
sunshine,B1,1,1
superhero,B1,2,1
surface,B1,9,2
surfer,B1,1,1
surprisingly,B1,1,1
swimmer,B1,2,2
takeout,B1,1,0
talented,B1,4,1
talker,B1,1,0
tasty,B1,1,0
tax,B1,2,0
technical,B1,4,0
tense,B1,1,0
tester,B1,1,1
texting,B1,1,0
thai,B1,1,1
There is a growing awareness that,B1,,0
thriller,B1,1,0
tiger,B1,3,0
tight,B1,1,0
tongue,B1,1,0
toothpaste,B1,1,1
translation,B1,1,0
truth,B1,5,2
type,B1,1,0
unable,B1,1,0
unbelievable,B1,2,1
uncomfortable,B1,3,1
underline,B1,1,1
underneath,B1,3,2
underwear,B1,1,0
unemployed,B1,2,1
unfair,B1,4,2
unforgettable,B1,2,2
unfriendly,B1,1,0
unhealthy,B1,3,1
unlike,B1,1,1
unlikely,B1,2,0
unnecessary,B1,1,1
unpack,B1,1,1
unpleasant,B1,1,1
upload,B1,4,2
urgently,B1,1,1
vase,B1,1,1
vegetarian,B1,2,1
victim,B1,2,1
violent,B1,3,2
vlogger,B1,1,1
walkway,B1,1,0
wand,B1,1,1
wardrobe,B1,1,0
wasteful,B1,1,1
watcher,B1,1,0
waterway,B1,1,1
weaker,B1,4,0
weakest,B1,1,1
weapon,B1,2,1
weigh,B1,4,2
westerner,B1,1,1
whale,B1,2,2
wheelchair,B1,2,2
whenever,B1,1,1
wing,B1,1,1
wonder,B1,9,2
wool,B1,2,1
worldwide,B1,2,2
yard,B1,4,2
yoga,B1,3,1
